system,mapping_type,original_name,generic_id
ATS,object,AURIC::DSU::ActivateDSUConfResp,2150
ATS,object,AURIC::DSU::CMDConfReport,2148
ATS,object,AURIC::DSU::CMDFailReport,2149
ATS,object,AURIC::DSU::DBDownloadReport,2146
ATS,object,AURIC::DSU::DBStatusReport,2155
ATS,object,AURIC::DSU::DBUploadAckFailure,2156
ATS,object,AURIC::DSU::DBUploadAckReport,2154
ATS,object,AURIC::DSU::DBVerReport,2145
ATS,object,AURIC::DSU::RequestActivateDSUCmd,2137
ATS,object,AURIC::DSU::RequestActivateDSUConfCmd,2138
ATS,object,AURIC::DSU::RequestDBDownloadCmd,2134
ATS,object,AURIC::DSU::RequestDBUploadCmd,2144
ATS,object,AURIC::DSU::RequestDBVerCmd,2133
ATS,object,AURIC::DSU::RequestStandbyDSUCmd,2139
ATS,object,AURIC::DSU::RequestStandbyDSUConfCmd,2140
ATS,object,AURIC::DSU::RequestTMNAZoneCmd,2141
ATS,object,AURIC::DSU::RequestTSRZoneCmd,2136
ATS,object,AURIC::DSU::StandbyDSUConfFail,2153
ATS,object,AURIC::DSU::StandbyDSUConfResp,2152
ATS,object,AURIC::DSU::StatusReport,2147
ATS,object,AURIC::DSU::TMNAZoneConfCmd,2143
ATS,object,AURIC::DSU::TSRZoneConfCmd,2142
ATS,object,AURIC::FaultCodeReport,2131
ATS,object,AURIC::Segment,2132
ATS,object,AURIC::VOBC::CoupleCmd,2174
ATS,object,AURIC::VOBC::DestinationCmd,2177
ATS,object,AURIC::VOBC::DwellCmd,2165
ATS,object,AURIC::VOBC::EBResetCmd,2158
ATS,object,AURIC::VOBC::HoldTrainCmd,2159
ATS,object,AURIC::VOBC::JogCmd,2173
ATS,object,AURIC::VOBC::MDCmd,2175
ATS,object,AURIC::VOBC::NextPlatfCmd,2166
ATS,object,AURIC::VOBC::OpenDoorsCmd,2164
ATS,object,AURIC::VOBC::ReducedRateCmd,2169
ATS,object,AURIC::VOBC::RequestRunTypeCmd,2176
ATS,object,AURIC::VOBC::ResumeMotionCmd,2160
ATS,object,AURIC::VOBC::StationOCCmd,2161
ATS,object,AURIC::VOBC::StationRestrictionCmd,2157
ATS,object,AURIC::VOBC::StationSkipCmd,2162
ATS,object,AURIC::VOBC::StopCmd,2163
ATS,object,AURIC::VOBC::StorageModeCmd,2172
ATS,object,AURIC::VOBC::TermPlatfCmd,2167
